cd_grupo;nm_grupo;nm_razao_social;nr_cnpj;ds_status;fl_status;fl_pre_agendamento;ds_pre_agendamento;fl_esocial_automatico;ds_esocial_automatico;dt_minima_eventos;cd_assinatura;cd_user_cadm;nm_user_cadm;ts_user_cadm;cd_user_manu;nm_user_manu;ts_user_manu
155268;Mayra Abdo Giannini;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;24/10/2024 14:51;16794;Adm - Lume;24/10/2024 14:51
155437;EMPORIO AMA LTDA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;28/10/2024 09:31;16794;Adm - Lume;28/10/2024 09:31
155799;SENAGA PASTEL DE FEIRA LTDA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;04/11/2024 08:42;16794;Adm - Lume;04/11/2024 08:42
155825;STUDIO HA COMERCIO E SERVICOS LTDA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;04/11/2024 13:20;16794;Adm - Lume;11/11/2024 13:19
156054;ECB FREITAS TRANSPORTES EXPRESS LTDA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;07/11/2024 14:48;16794;Adm - Lume;07/11/2024 14:48
156198;GSA Blindagem Ltda;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;11/11/2024 11:19;16794;Adm - Lume;11/11/2024 11:19
157076;RCA CENOGRAFIA LTDA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;26/11/2024 09:42;16794;Adm - Lume;26/11/2024 09:42
159057;T Japan Serviços Automotivos Ltda;;;Ativo;A;N;Não;N;Não;;2941;3068;Anderson Moraes Bompadre;09/01/2025 09:37;3068;Anderson Moraes Bompadre;09/01/2025 09:37
160256;Nillmor Corretora de Seguros Ltda;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;28/01/2025 11:45;16794;Adm - Lume;28/01/2025 11:45
162035;Lillian Maria da Costa Marques Sandrin;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;21/02/2025 16:18;16794;Adm - Lume;21/02/2025 16:18
165032;ASAA INDUSTRIA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;14/04/2025 08:15;16794;Adm - Lume;14/04/2025 08:15
165813;Sandra Regina Rangel;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;25/04/2025 12:31;16794;Adm - Lume;25/04/2025 12:31
166654;Green Table Comercio De Alimentos;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;12/05/2025 15:40;16794;Adm - Lume;12/05/2025 15:40
168360;Pluggy Brasil Instituicao De Pagamento Ltda;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;10/06/2025 09:18;16794;Adm - Lume;10/06/2025 09:18
168970;JAIRO E JOICE ODONTOLOGIA LTDA.;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;23/06/2025 11:42;16794;Adm - Lume;23/06/2025 11:42
168983;Iara Rettore;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;23/06/2025 13:21;16794;Adm - Lume;23/06/2025 13:21
168987;Administração e Imobiliária Bagattini;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;23/06/2025 14:33;16794;Adm - Lume;23/06/2025 14:33
168993;Essencial Box Ltda;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;23/06/2025 15:22;16794;Adm - Lume;11/08/2025 09:58
169552;FD LAB Ltda;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;02/07/2025 10:27;16794;Adm - Lume;02/07/2025 10:27
169560;D&C Serviços Terceirizados Ltda;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;02/07/2025 11:25;16794;Adm - Lume;02/07/2025 11:25
174953;Marcia Colonese Promoções e Eventos;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;28/08/2025 08:47;16794;Adm - Lume;28/08/2025 08:47
177181;C M PINGO AR CONDICIONADO;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;13/10/2025 14:25;16794;Adm - Lume;13/10/2025 14:25
177725;Andrea Regina Cardoso de Almeida Moreira;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;27/10/2025 11:12;16794;Adm - Lume;27/10/2025 11:12
178353;Pastelaria Senaga Pastel de Feira Ltda;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;07/11/2025 15:01;16794;Adm - Lume;07/11/2025 15:01
179220;TSL ENGENHARIA LTDA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;02/12/2025 14:06;16794;Adm - Lume;02/12/2025 14:06
179771;EXPERT CONSULTORIA E TERCEIRIZACAO DE MAO-DE-OBRA;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;18/12/2025 16:54;16794;Adm - Lume;18/12/2025 16:54
179908;Elielma da Cruz Nunes;;;Ativo;A;N;Não;N;Não;;2941;16794;Adm - Lume;29/12/2025 13:27;16794;Adm - Lume;29/12/2025 13:27
